Series Name,Series Code,Country Name,Country Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Japan,JPN,79.72095591,81.23226885,83.67531011,82.07032779,80.92420743,80.71502476,82.64541565,82.34586693,80.36108289,80.14407831
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Italy,ITA,84.42306961,83.70034231,83.53825705,84.06483707,83.7920833,83.71512534,83.08543016,81.88238606,81.33076624,81.00267182
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,India,IND,20.08046084,20.3527755,19.663346,21.38063836,22.05265263,23.46924171,24.96960723,25.79397946,27.4526763,28.34760875
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,China,CHN,-0.67382888,1.500542639,3.089543048,4.89483849,6.056192143,7.858073703,8.42170831,8.435545073,10.3609957,11.44641322
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,United Arab Emirates,ARE,-285.944907,-271.8165264,-313.7042789,-306.3403178,-294.1541928,-300.816709,-265.5991878,-212.8208502,-179.8068398,-181.4595923
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,United States,USA,24.30053717,26.60412855,27.72618062,28.69557069,29.65917928,27.97212343,28.58560688,25.26407137,22.1249837,22.2092009
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,United Kingdom,GBR,-17.24190753,-18.017382,-10.71813037,-1.706573508,7.861983332,14.70555456,16.55018289,19.82312494,19.11991506,26.57049679
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Pakistan,PAK,24.91468671,24.22832056,20.07455865,20.78130395,20.28517099,22.9874706,24.20401056,24.09955559,23.35585864,23.56046676
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Russian Federation,RUS,-61.05655674,-67.9152134,-73.47216241,-81.08263408,-84.6287039,-82.95042526,-84.2324743,-82.13312436,-84.02162871,-85.847244
"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Germany,DEU,61.17646194,60.3408053,59.97774301,59.73851082,59.46621258,60.01125618,58.46423005,60.00315352,59.31754646,60.66440971
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,
Last Updated: 10/26/2023,,,,,,,,,,,,,
